query_name,recordType,elementGlobalId,scientificName,primaryCommonName,classificationStatus,roundedGRank,gRank
Pinus virginiana,SPECIES,147027,Pinus virginiana,Virginia Pine,Standard,G5,G5
Piper aduncum,SPECIES,157892,Piper aduncum,Higuillo de Hoja Menuda,Standard,G5,G5
Piscidia piscipula,SPECIES,135857,Piscidia piscipula,Florida Fishpoison-tree,Standard,G5,G5
Pisonia aculeata,SPECIES,151061,Pisonia aculeata,Devil's Claws,Standard,G5,G5
Pistia stratiotes,SPECIES,151080,Pistia stratiotes,Water-lettuce,Standard,G5,G5
Planera aquatica,SPECIES,142132,Planera aquatica,Planertree,Standard,G5,G5
Plantago cordata,SPECIES,155726,Plantago cordata,Heartleaf Plantain,Standard,G4,G4
Plantago eriopoda,SPECIES,129914,Plantago eriopoda,Saline Plantain,Standard,G5,G5
Plantago macrocarpa,SPECIES,134525,Plantago macrocarpa,Alaska Plantain,Standard,G4,G4
Plantago maritima,SPECIES,144194,Plantago maritima,Seaside Plantain,Standard,G5,G5
Platanthera blephariglottis,SPECIES,142013,Platanthera blephariglottis,White-fringe Orchis,Standard,G5,G5
Platanthera chapmanii,SPECIES,141093,Platanthera chapmanii,Chapman's Fringed Orchid,Standard,G2,G2
Platanthera chorisiana,SPECIES,144177,Platanthera chorisiana,Choriso Bog Orchid,Standard,G4,G4
Platanthera clavellata,SPECIES,156984,Platanthera clavellata,Small Green Woodland Orchid,Standard,G5,G5
Platanthera hyperborea,SPECIES,136810,Platanthera hyperborea,Leafy Northern Green Orchid,Standard,G5,G5
Platanthera integrilabia,SPECIES,155927,Platanthera integrilabia,White Fringeless Orchid,Standard,G2,G2G3
Platanthera tipuloides,SPECIES,140151,Platanthera tipuloides,Aleutian Bog Orchid,Standard,G4,G4G5
Platanus occidentalis,SPECIES,138935,Platanus occidentalis,Sycamore,Standard,G5,G5
Pleuropogon refractus,SPECIES,132116,Pleuropogon refractus,Nodding False Semaphore Grass,Standard,G4,G4
Pleuropogon sabinei,SPECIES,156375,Pleuropogon sabinei,Sabine-grass,Standard,G4,G4G5
Pluchea carolinensis,SPECIES,158088,Pluchea carolinensis,Cure-for-All,Standard,G5,G5
Plumeria obtusa,SPECIES,144755,Plumeria obtusa,Krugii Cimarron,Standard,G4,G4G5
Poa palustris,SPECIES,149461,Poa palustris,Fowl Bluegrass,Standard,G5,G5
Poa pratensis,SPECIES,149735,Poa pratensis,Kentucky Bluegrass,Standard,G5,G5
Podostemum ceratophyllum,SPECIES,149034,Podostemum ceratophyllum,Threadfoot,Standard,G5,G5
Pogonia ophioglossoides,SPECIES,144805,Pogonia ophioglossoides,Rose Pogonia,Standard,G5,G5
Polemonium acutiflorum,SPECIES,147247,Polemonium acutiflorum,Tall Jacob's-ladder,Standard,G5,G5
Polemonium pulcherrimum,SPECIES,145386,Polemonium pulcherrimum,Showy Jacob's-ladder,Standard,G5,G5
Polemonium viscosum,SPECIES,128643,Polemonium viscosum,Skunk Polemonium,Standard,G5,G5
Polypogon monspeliensis,SPECIES,152816,Polypogon monspeliensis,Annual Rabbit's-foot Grass,Standard,GNR,GNR
Polypogon viridis,SPECIES,161712,Polypogon viridis,Beardless Rabbit's-foot Grass,Standard,GNR,GNR
Populus angustifolia,SPECIES,159703,Populus angustifolia,Narrowleaf Cottonwood,Standard,G5,G5
Populus balsamifera,SPECIES,139406,Populus balsamifera,Balsam Poplar,Standard,G5,G5
Populus deltoides,SPECIES,146933,Populus deltoides,Eastern Cottonwood,Standard,G5,G5
Populus grandidentata,SPECIES,140795,Populus grandidentata,Large-tooth Aspen,Standard,G5,G5
Populus heterophylla,SPECIES,136148,Populus heterophylla,Swamp Cottonwood,Standard,G5,G5
Populus tremuloides,SPECIES,142643,Populus tremuloides,Quaking Aspen,Standard,G5,G5
Potamogeton alpinus,SPECIES,153433,Potamogeton alpinus,Northern Pondweed,Standard,G5,G5
Potamogeton amplifolius,SPECIES,156283,Potamogeton amplifolius,Largeleaf Pondweed,Standard,G5,G5
Potamogeton berchtoldii,SPECIES,1141078,Potamogeton berchtoldii,NA,Provisional,GNR,GNR
Potamogeton confervoides,SPECIES,128747,Potamogeton confervoides,Algae-like Pondweed,Standard,G5,G5
Potamogeton crispus,SPECIES,145742,Potamogeton crispus,Curly Pondweed,Standard,G5,G5
Potamogeton epihydrus,SPECIES,144293,Potamogeton epihydrus,Nuttall's Pondweed,Standard,G5,G5
Potamogeton foliosus,SPECIES,150233,Potamogeton foliosus,Leafy Pondweed,Standard,G5,G5
Potamogeton friesii,SPECIES,140507,Potamogeton friesii,Fries' Pondweed,Standard,G5,G5
Potamogeton gramineus,SPECIES,142488,Potamogeton gramineus,Grassleaf Pondweed,Standard,G5,G5
Potamogeton natans,SPECIES,148022,Potamogeton natans,Floating Pondweed,Standard,G5,G5
Potamogeton oakesianus,SPECIES,138810,Potamogeton oakesianus,Oakes' Pondweed,Standard,G5,G5
Potamogeton obtusifolius,SPECIES,132578,Potamogeton obtusifolius,Bluntleaf Pondweed,Standard,G5,G5
Potamogeton perfoliatus,SPECIES,149208,Potamogeton perfoliatus,Claspingleaf Pondweed,Standard,G5,G5
Potamogeton praelongus,SPECIES,155381,Potamogeton praelongus,White-stem Pondweed,Standard,G5,G5
Potamogeton pusillus,SPECIES,128182,Potamogeton pusillus,Slender Pondweed,Standard,G5,G5
Potamogeton robbinsii,SPECIES,148296,Potamogeton robbinsii,Flatleaf Pondweed,Standard,G5,G5
Potamogeton spirillus,SPECIES,161465,Potamogeton spirillus,Spiral Pondweed,Standard,G5,G5
Potamogeton subsibiricus,SPECIES,131013,Potamogeton subsibiricus,Yenisei River Pondweed,Standard,G3,G3G4
Potentilla anserina,SPECIES,947355,Potentilla anserina,Common Silverweed,Standard,G5,G5
Potentilla norvegica,SPECIES,134447,Potentilla norvegica,Norwegian Cinquefoil,Standard,G5,G5
Potentilla rivalis,SPECIES,134532,Potentilla rivalis,Brook Cinquefoil,Standard,G5,G5
Potentilla supina,SPECIES,828206,Potentilla supina,Spreading Cinquefoil,Standard,G5,G5
Primula cuneifolia,SPECIES,135659,Primula cuneifolia,Wedgeleaf Primrose,Standard,G5,G5
Primula incana,SPECIES,160869,Primula incana,Jones Primrose,Standard,G5,G5
Primula mistassinica,SPECIES,133453,Primula mistassinica,Bird's-eye Primrose,Standard,G5,G5
Primula stricta,SPECIES,130109,Primula stricta,Stiff Primrose,Standard,G4,G4G5
Proserpinaca palustris,SPECIES,132561,Proserpinaca palustris,Marsh Mermaidweed,Standard,G5,G5
Proserpinaca pectinata,SPECIES,135919,Proserpinaca pectinata,Combleaf Mermaidweed,Standard,G5,G5
Prosopis glandulosa,SPECIES,144175,Prosopis glandulosa,Honey Mesquite,Standard,G5,G5?
Prosopis pubescens,SPECIES,158270,Prosopis pubescens,Screwbean Mesquite,Standard,G5,G5
Prosopis velutina,SPECIES,130333,Prosopis velutina,Velvet Mesquite,Standard,G5,G5
Prunus americana,SPECIES,161452,Prunus americana,American Plum,Standard,G5,G5
Prunus angustifolia,SPECIES,153981,Prunus angustifolia,Chickasaw Plum,Standard,G5,G5
Prunus caroliniana,SPECIES,147889,Prunus caroliniana,Carolina Laurel Cherry,Standard,G5,G5
Prunus emarginata,SPECIES,149169,Prunus emarginata,Bitter Cherry,Standard,G5,G5
Prunus maritima,SPECIES,146886,Prunus maritima,Beach Plum,Standard,G4,G4
Prunus mexicana,SPECIES,151774,Prunus mexicana,Bigtree Plum,Standard,G4,G4G5
Prunus munsoniana,SPECIES,135648,Prunus munsoniana,Wild Goose Plum,Standard,G5,G5
Prunus pensylvanica,SPECIES,136606,Prunus pensylvanica,Fire Cherry,Standard,G5,G5
Prunus rivularis,SPECIES,141472,Prunus rivularis,Creek Plum,Standard,G4,G4
Prunus serotina,SPECIES,159253,Prunus serotina,Black Cherry,Standard,G5,G5
Pseudotsuga macrocarpa,SPECIES,144379,Pseudotsuga macrocarpa,Big-cone Douglas-fir,Standard,G4,G4
Pseudotsuga menziesii,SPECIES,136725,Pseudotsuga menziesii,Douglas-fir,Standard,G5,G5
Psidium guajava,SPECIES,135070,Psidium guajava,Common Guava,Standard,G5,G5
Psilocarphus brevissimus,SPECIES,157836,Psilocarphus brevissimus,Round Woolly-heads,Standard,G4,G4
Psilocarphus tenellus,SPECIES,130213,Psilocarphus tenellus,Slender Woolly-heads,Standard,G4,G4
Psorothamnus spinosus,SPECIES,154582,Psorothamnus spinosus,Smokethorn,Standard,G4,G4
Psychotria nervosa,SPECIES,157868,Psychotria nervosa,St. John's Wild Coffee,Standard,G5,G5
Ptelea trifoliata,SPECIES,159313,Ptelea trifoliata,Common Hoptree,Standard,G5,G5
Pteris vittata,SPECIES,143716,Pteris vittata,Ladder Brake,Standard,GNR,GNR
Puccinellia angustata,SPECIES,138564,Puccinellia angustata,Northern Alkali Grass,Standard,G4,G4G5
Puccinellia nuttalliana,SPECIES,137561,Puccinellia nuttalliana,Nuttall's Alkali Grass,Standard,G5,G5
Pulicaria arabica,SPECIES,156675,Pulicaria arabica,Ladies' False Fleabane,Standard,GNR,GNR
Purshia stansburiana,SPECIES,151025,Purshia stansburiana,Stansbury's Cliffrose,Standard,G5,G5
Pyrus communis,SPECIES,147676,Pyrus communis,Common Pear,Standard,G5,G5
Quercus agrifolia,SPECIES,143622,Quercus agrifolia,California Live Oak,Standard,G5,G5
Quercus alba,SPECIES,138617,Quercus alba,White Oak,Standard,G5,G5
Quercus arizonica,SPECIES,156006,Quercus arizonica,Arizona Oak,Standard,G5,G5
Quercus arkansana,SPECIES,154443,Quercus arkansana,Arkansas Oak,Standard,G3,G3
Quercus austrina,SPECIES,160238,Quercus austrina,Bluff Oak,Standard,G4,G4?
Quercus berberidifolia,SPECIES,784907,Quercus berberidifolia,California Scrub Oak,Standard,G5,G5
Quercus bicolor,SPECIES,145299,Quercus bicolor,Swamp White Oak,Standard,G5,G5
Quercus buckleyi,SPECIES,159416,Quercus buckleyi,Buckley Oak,Standard,G5,G5
Quercus cerris,SPECIES,784910,Quercus cerris,European Turkey Oak,Standard,GNR,GNR
Quercus chapmanii,SPECIES,130159,Quercus chapmanii,Chapman White Oak,Standard,G4,G4G5
Quercus chihuahuensis,SPECIES,155518,Quercus chihuahuensis,Chihuahuan Oak,Standard,G4,G3G5
Quercus chrysolepis,SPECIES,129996,Quercus chrysolepis,Canyon Live Oak,Standard,G5,G5
Quercus coccinea,SPECIES,146415,Quercus coccinea,Scarlet Oak,Standard,G5,G5
Quercus cornelius-mulleri,SPECIES,142784,Quercus cornelius-mulleri,Scrub Oak,Standard,G4,G4
Quercus depressipes,SPECIES,158439,Quercus depressipes,Mexican Dwarf Oak,Standard,G3,G3
Quercus douglasii,SPECIES,156621,Quercus douglasii,Douglas Oak,Standard,G4,G4?
Quercus dumosa,SPECIES,154209,Quercus dumosa,California Scrub Oak,Standard,G3,G3
Quercus durata,SPECIES,145748,Quercus durata,Leather Oak,Standard,G4,G4
Quercus ellipsoidalis,SPECIES,147790,Quercus ellipsoidalis,Northern Pin Oak,Standard,G5,G5
Quercus emoryi,SPECIES,155713,Quercus emoryi,Emory's Oak,Standard,G5,G5
Quercus engelmannii,SPECIES,133490,Quercus engelmannii,Engelmann Oak,Standard,G3,G3
Quercus falcata,SPECIES,154985,Quercus falcata,Southern Red Oak,Standard,G5,G5
Quercus fusiformis,SPECIES,147877,Quercus fusiformis,Plateau Live Oak,Standard,G5,G5
Quercus gambelii,SPECIES,145669,Quercus gambelii,Gambel Oak,Standard,G5,G5
Quercus garryana,SPECIES,147581,Quercus garryana,Oregon White Oak,Standard,G5,G5
Quercus geminata,SPECIES,129700,Quercus geminata,Sand Live Oak,Standard,G5,G5
Quercus georgiana,SPECIES,151807,Quercus georgiana,Georgia Oak,Standard,G3,G3
Quercus gravesii,SPECIES,140281,Quercus gravesii,Graves Oak,Standard,G5,G5
Quercus grisea,SPECIES,142786,Quercus grisea,Gray Oak,Standard,G5,G5
Quercus havardii,SPECIES,128739,Quercus havardii,Havard Oak,Standard,G4,G4
